date,temperature_2m_mean,apparent_temperature_mean,weather_code
2018-12-31,4.32,1.48,3
2019-01-01,4.86,2.16,3
2019-01-02,5.16,1.72,3
2019-01-03,2.24,-1.9600000000000002,1
2019-01-04,1.1,-2.88,3
2019-01-05,1.16,-2.34,3
2019-01-06,1.3599999999999999,-1.9600000000000002,3
2019-01-07,3.2600000000000002,0.38,3
2019-01-08,6.220000000000001,3.4799999999999995,51
2019-01-09,5.5200000000000005,2.2600000000000002,51
2019-01-10,2.3600000000000003,-1.56,3
2019-01-11,2.3600000000000003,-0.76,3
2019-01-12,4.88,2.24,3
2019-01-13,8.74,5.76,51
2019-01-14,9.040000000000001,6.34,51
2019-01-15,5.92,3.3,3
2019-01-16,5.34,2.32,3
2019-01-17,7.460000000000001,4.34,55
2019-01-18,4.96,2.2,3
2019-01-19,6.7,3.84,3
2019-01-20,6.12,3.6799999999999997,55
2019-01-21,4.0,0.82,3
2019-01-22,4.0200000000000005,0.1600000000000001,61
2019-01-23,5.98,1.5,63
2019-01-24,3.38,-0.14,51
2019-01-25,6.56,4.0,51
2019-01-26,8.64,6.24,51
2019-01-27,7.840000000000001,2.16,61
2019-01-28,6.44,2.2,63
2019-01-29,6.4399999999999995,2.1,61
2019-01-30,5.4799999999999995,1.1,61
2019-01-31,7.82,4.54,63
2019-02-01,7.640000000000001,4.66,61
2019-02-02,4.720000000000001,0.34,53
2019-02-03,3.3,-0.76,3
2019-02-04,2.82,-0.86,53
2019-02-05,8.959999999999999,7.0200000000000005,51
2019-02-06,10.2,8.74,3
2019-02-07,9.120000000000001,6.220000000000001,51
2019-02-08,8.28,5.08,3
2019-02-09,10.459999999999999,7.56,3
2019-02-10,9.7,4.92,61
2019-02-11,7.660000000000001,4.4,51
2019-02-12,5.64,3.0,3
2019-02-13,6.119999999999999,2.96,0
2019-02-14,7.959999999999999,4.9399999999999995,0
2019-02-15,8.5,5.64,0
2019-02-16,8.48,5.720000000000001,0
2019-02-17,10.26,6.779999999999999,0
2019-02-18,9.540000000000001,6.34,3
2019-02-19,9.02,7.279999999999999,3
2019-02-20,8.18,6.040000000000001,0
2019-02-21,9.64,7.42,0
2019-02-22,10.459999999999999,7.779999999999999,0
2019-02-23,10.72,8.120000000000001,0
2019-02-24,9.879999999999999,7.76,3
2019-02-25,10.059999999999999,8.3,1
2019-02-26,11.76,10.04,0
2019-02-27,12.559999999999999,10.459999999999999,0
2019-02-28,11.0,8.459999999999999,3
2019-03-01,9.86,7.56,3
2019-03-02,10.559999999999999,7.779999999999999,51
2019-03-03,12.0,9.16,3
2019-03-04,10.959999999999999,6.36,61
2019-03-05,10.92,7.840000000000001,51
2019-03-06,13.16,9.42,63
2019-03-07,10.0,5.88,53
2019-03-08,9.2,6.8,51
2019-03-09,11.32,8.72,53
2019-03-10,11.459999999999999,8.52,51
2019-03-11,9.0,5.88,51
2019-03-12,9.18,5.54,53
2019-03-13,8.440000000000001,3.8200000000000003,53
2019-03-14,9.379999999999999,4.9399999999999995,51
2019-03-15,10.78,7.5600000000000005,51
2019-03-16,11.02,8.82,3
2019-03-17,9.3,5.4,55
2019-03-18,8.08,4.88,51
2019-03-19,7.94,5.26,51
2019-03-20,8.2,5.4,3
2019-03-21,8.620000000000001,5.9799999999999995,1
2019-03-22,9.98,7.779999999999999,0
2019-03-23,11.52,9.74,3
2019-03-24,11.559999999999999,9.559999999999999,2
2019-03-25,9.58,6.42,3
2019-03-26,8.559999999999999,4.64,0
2019-03-27,8.78,5.4,0
2019-03-28,9.74,6.94,0
2019-03-29,11.440000000000001,9.08,2
2019-03-30,13.38,10.3,3
2019-03-31,12.059999999999999,9.940000000000001,3
2019-04-01,12.36,10.8,51
2019-04-02,11.559999999999999,9.02,51
2019-04-03,7.459999999999999,3.46,61
2019-04-04,7.4,3.56,51
2019-04-05,10.1,6.82,51
2019-04-06,8.76,6.02,63
2019-04-07,8.84,6.18,51
2019-04-08,9.620000000000001,7.32,55
2019-04-09,9.8,8.08,3
2019-04-10,10.1,7.82,51
2019-04-11,10.36,8.059999999999999,3
2019-04-12,10.16,7.840000000000001,0
2019-04-13,9.6,7.12,3
2019-04-14,9.24,6.16,51
2019-04-15,12.760000000000002,9.620000000000001,63
2019-04-16,13.040000000000001,10.98,51
2019-04-17,15.16,12.940000000000001,3
2019-04-18,15.2,13.74,53
2019-04-19,16.259999999999998,14.7,3
2019-04-20,15.180000000000001,13.819999999999999,2
2019-04-21,13.6,12.2,53
2019-04-22,14.7,13.26,51
2019-04-23,14.9,13.26,63
2019-04-24,12.559999999999999,9.440000000000001,61
2019-04-25,12.4,9.48,63
