date,temperature_2m_mean,apparent_temperature_mean,weather_code
2018-12-31,4.8,1.3,3
2019-01-01,5.4,2.1,3
2019-01-02,4.4,0.1,3
2019-01-03,1.2,-3.6,1
2019-01-04,0.8,-3.8,3
2019-01-05,0.5,-3.3,3
2019-01-06,0.9,-3.0,3
2019-01-07,2.7,-0.3,3
2019-01-08,4.8,2.0,51
2019-01-09,2.7,-1.1,51
2019-01-10,0.8,-3.8,3
2019-01-11,0.5,-2.9,51
2019-01-12,3.8,1.0,51
2019-01-13,6.7,3.7,51
2019-01-14,6.8,3.8,51
2019-01-15,3.7,0.9,3
2019-01-16,2.9,-0.8,51
2019-01-17,5.2,1.9,55
2019-01-18,2.4,-0.5,3
2019-01-19,4.1,0.7,55
2019-01-20,4.0,1.3,61
2019-01-21,1.9,-1.6,3
2019-01-22,-0.9,-4.7,73
2019-01-23,1.9,-2.2,73
2019-01-24,0.4,-4.0,71
2019-01-25,2.2,-0.6,73
2019-01-26,6.7,4.1,51
2019-01-27,5.1,0.3,61
2019-01-28,2.4,-1.2,75
2019-01-29,2.5,-1.9,73
2019-01-30,2.2,-2.2,61
2019-01-31,4.9,1.3,71
2019-02-01,5.0,1.7,61
2019-02-02,2.1,-1.6,53
2019-02-03,1.1,-3.7,3
2019-02-04,-0.2,-3.9,73
2019-02-05,4.8,2.3,51
2019-02-06,7.7,6.1,51
2019-02-07,7.5,4.5,53
2019-02-08,6.2,2.6,51
2019-02-09,8.6,5.3,53
2019-02-10,7.9,3.0,61
2019-02-11,4.8,1.4,51
2019-02-12,3.0,-0.2,3
2019-02-13,4.3,0.7,0
2019-02-14,5.9,2.3,1
2019-02-15,5.8,2.1,0
2019-02-16,5.7,1.8,0
2019-02-17,9.3,5.1,1
2019-02-18,8.6,4.9,2
2019-02-19,7.5,5.1,3
2019-02-20,6.1,3.4,3
2019-02-21,7.4,4.8,0
2019-02-22,8.3,5.3,0
2019-02-23,10.3,7.5,0
2019-02-24,9.5,7.2,0
2019-02-25,8.7,6.8,0
2019-02-26,9.9,8.0,0
2019-02-27,10.6,8.3,0
2019-02-28,8.7,5.9,51
2019-03-01,8.5,5.7,3
2019-03-02,8.3,5.5,61
2019-03-03,9.5,6.5,3
2019-03-04,8.9,4.2,53
2019-03-05,8.0,4.6,51
2019-03-06,11.0,6.7,63
2019-03-07,7.8,4.1,63
2019-03-08,7.8,5.3,51
2019-03-09,9.5,6.7,53
2019-03-10,10.5,7.3,53
2019-03-11,6.2,2.2,3
2019-03-12,6.6,2.4,61
