date,temperature_2m_mean,apparent_temperature_mean,weather_code
2018-12-31,2.2,-0.2,3
2019-01-01,2.6,0.1,3
2019-01-02,3.1,0.1,3
2019-01-03,1.5,-1.8,2
2019-01-04,-0.1,-3.4,2
2019-01-05,0.2,-3.3,0
2019-01-06,0.1,-3.1,3
2019-01-07,0.6,-2.6,3
2019-01-08,4.4,1.4,51
2019-01-09,6.1,3.2,53
2019-01-10,1.6,-1.4,51
2019-01-11,1.4,-1.7,3
2019-01-12,4.5,1.8,3
2019-01-13,7.8,4.8,51
2019-01-14,9.0,6.6,51
2019-01-15,7.1,4.8,3
2019-01-16,6.4,3.9,3
2019-01-17,7.0,4.2,55
2019-01-18,4.9,2.3,51
2019-01-19,5.9,3.2,51
2019-01-20,5.5,3.1,55
2019-01-21,3.9,1.1,53
2019-01-22,4.0,0.4,61
2019-01-23,5.8,1.7,63
2019-01-24,3.2,-0.1,51
2019-01-25,6.2,3.7,53
2019-01-26,8.0,6.0,53
2019-01-27,7.0,2.3,61
2019-01-28,6.1,1.7,73
2019-01-29,6.8,3.3,61
2019-01-30,4.6,0.7,61
2019-01-31,8.6,6.2,63
2019-02-01,8.8,5.9,61
2019-02-02,4.3,0.6,71
2019-02-03,2.4,-1.4,51
2019-02-04,3.0,-0.4,53
2019-02-05,9.9,7.8,61
2019-02-06,11.1,10.0,53
2019-02-07,8.6,6.1,55
2019-02-08,7.8,5.4,3
2019-02-09,9.8,7.6,3
2019-02-10,7.8,4.6,53
2019-02-11,7.2,4.6,53
2019-02-12,6.4,3.8,3
2019-02-13,7.2,4.3,0
2019-02-14,7.7,4.9,0
2019-02-15,9.1,6.3,0
2019-02-16,9.2,6.4,0
2019-02-17,9.4,6.4,0
2019-02-18,9.5,6.8,3
2019-02-19,9.7,7.6,3
2019-02-20,8.5,6.4,0
2019-02-21,9.7,7.5,0
2019-02-22,10.8,7.7,0
2019-02-23,10.9,7.9,0
2019-02-24,11.2,9.1,0
2019-02-25,11.7,10.0,1
2019-02-26,12.4,10.7,0
2019-02-27,13.6,11.1,0
2019-02-28,11.5,9.2,3
2019-03-01,9.7,7.6,3
2019-03-02,10.9,7.9,51
2019-03-03,12.2,9.8,3
2019-03-04,10.5,7.7,61
2019-03-05,11.1,8.5,3
2019-03-06,13.5,11.2,53
2019-03-07,10.6,6.8,53
2019-03-08,8.2,5.9,55
2019-03-09,11.1,9.0,51
2019-03-10,10.8,8.8,51
2019-03-11,9.3,7.1,51
2019-03-12,10.3,7.3,55
2019-03-13,7.6,4.0,55
2019-03-14,8.5,4.8,53
2019-03-15,10.2,7.2,51
2019-03-16,11.1,9.2,3
2019-03-17,8.4,5.7,55
2019-03-18,7.5,4.8,51
2019-03-19,7.9,5.5,53
2019-03-20,8.3,5.8,2
2019-03-21,7.4,4.9,0
2019-03-22,10.1,7.7,0
2019-03-23,12.0,9.9,3
2019-03-24,12.3,10.3,2
2019-03-25,10.2,7.9,3
2019-03-26,9.0,5.5,3
2019-03-27,8.9,6.3,0
2019-03-28,9.5,7.3,0
2019-03-29,11.6,9.4,2
2019-03-30,12.6,10.2,3
2019-03-31,12.1,10.1,3
2019-04-01,13.0,11.9,51
2019-04-02,11.5,9.7,61
2019-04-03,7.3,3.7,61
2019-04-04,7.7,3.6,53
2019-04-05,10.2,7.6,61
2019-04-06,8.7,6.2,63
2019-04-07,8.2,5.5,53
2019-04-08,8.5,6.5,61
2019-04-09,9.4,7.6,63
2019-04-10,9.4,7.1,63
2019-04-11,9.3,7.1,61
2019-04-12,11.1,9.3,53
2019-04-13,10.7,8.6,3
2019-04-14,9.9,7.8,51
2019-04-15,14.9,13.1,63
2019-04-16,13.5,11.6,53
2019-04-17,15.2,13.6,3
2019-04-18,14.7,14.2,53
2019-04-19,14.8,14.4,53
2019-04-20,14.7,13.1,3
2019-04-21,12.2,10.6,55
2019-04-22,13.1,12.3,3
2019-04-23,13.9,12.9,63
2019-04-24,11.9,9.8,61
2019-04-25,12.8,10.6,63
2019-04-26,10.1,7.0,61
2019-04-27,11.6,9.0,51
2019-04-28,11.6,10.0,51
2019-04-29,12.2,10.2,3
2019-04-30,13.5,11.9,2
2019-05-01,13.5,12.2,53
2019-05-02,12.7,10.8,51
2019-05-03,10.2,8.5,61
2019-05-04,10.6,8.1,55
2019-05-05,7.8,5.0,51
2019-05-06,10.5,7.3,3
2019-05-07,14.6,13.2,51
2019-05-08,14.4,13.5,61
2019-05-09,14.3,12.6,53
2019-05-10,15.9,16.2,63
2019-05-11,13.7,11.8,55
2019-05-12,13.3,11.5,3
2019-05-13,13.5,11.0,2
2019-05-14,14.8,13.5,3
2019-05-15,15.8,14.4,3
2019-05-16,15.6,14.1,53
2019-05-17,11.0,8.9,63
2019-05-18,10.5,7.0,61
2019-05-19,10.4,8.2,63
2019-05-20,12.4,10.9,51
2019-05-21,13.3,12.4,3
2019-05-22,15.9,15.6,3
2019-05-23,16.1,15.6,63
2019-05-24,13.2,12.3,63
2019-05-25,13.8,12.7,61
2019-05-26,13.9,13.0,51
2019-05-27,13.6,12.5,53
2019-05-28,13.0,10.6,51
2019-05-29,13.2,11.6,51
2019-05-30,16.3,15.8,2
2019-05-31,19.5,19.5,0
2019-06-01,22.5,23.6,0
2019-06-02,22.0,22.9,51
2019-06-03,19.3,20.1,3
2019-06-04,18.8,19.7,63
2019-06-05,13.0,11.9,63
2019-06-06,15.2,13.7,3
2019-06-07,15.8,13.5,63
2019-06-08,15.4,14.0,3
2019-06-09,16.4,15.8,55
2019-06-10,13.3,12.1,53
2019-06-11,12.1,10.1,55
2019-06-12,14.1,11.6,51
2019-06-13,15.8,15.7,51
2019-06-14,15.2,15.0,63
2019-06-15,14.9,14.5,61
2019-06-16,17.3,17.0,3
2019-06-17,21.6,21.7,3
2019-06-18,22.0,22.9,3
2019-06-19,19.9,20.6,51
2019-06-20,17.5,18.3,61
2019-06-21,15.5,15.3,61
2019-06-22,18.5,18.7,3
2019-06-23,23.3,24.8,3
2019-06-24,21.6,23.5,3
2019-06-25,23.2,25.5,3
2019-06-26,24.5,28.3,3
2019-06-27,26.5,29.3,51
2019-06-28,22.2,24.4,3
2019-06-29,24.2,27.8,3
2019-06-30,20.6,22.6,3
2019-07-01,18.9,19.7,51
2019-07-02,19.4,20.5,51
2019-07-03,22.9,25.4,61
2019-07-04,25.8,28.9,3
2019-07-05,25.4,28.0,1
2019-07-06,23.3,25.3,3
2019-07-07,21.4,23.0,51
2019-07-08,20.4,22.5,61
2019-07-09,19.0,19.9,63
2019-07-10,21.2,22.3,3
2019-07-11,22.1,23.9,3
2019-07-12,21.8,23.2,1
2019-07-13,21.5,23.0,3
2019-07-14,21.8,22.7,63
2019-07-15,21.0,21.6,0
2019-07-16,20.9,21.9,3
2019-07-17,20.2,20.8,53
2019-07-18,19.9,20.5,51
2019-07-19,21.4,22.5,1
2019-07-20,22.3,23.9,3
2019-07-21,23.0,25.4,51
2019-07-22,25.6,28.8,3
2019-07-23,28.1,31.0,2
2019-07-24,26.8,30.1,2
2019-07-25,27.7,29.6,51
2019-07-26,20.7,22.4,65
2019-07-27,16.8,17.2,63
2019-07-28,18.1,18.1,53
2019-07-29,19.9,19.8,51
2019-07-30,17.9,17.6,55
2019-07-31,18.6,18.9,3
2019-08-01,18.9,19.7,61
2019-08-02,20.2,21.6,51
2019-08-03,22.4,24.4,1
2019-08-04,22.0,23.7,3
2019-08-05,21.2,23.3,51
2019-08-06,22.4,24.8,3
2019-08-07,21.9,23.8,63
2019-08-08,25.8,28.6,51
2019-08-09,26.0,28.6,63
2019-08-10,20.3,22.0,53
2019-08-11,17.9,18.9,65
2019-08-12,16.7,16.4,63
2019-08-13,16.9,17.0,3
2019-08-14,18.6,18.5,3
2019-08-15,19.3,19.2,55
2019-08-16,19.8,21.2,2
2019-08-17,22.0,23.8,3
2019-08-18,21.1,22.9,55
2019-08-19,17.9,18.6,61
2019-08-20,17.6,18.2,61
2019-08-21,18.8,18.8,3
2019-08-22,18.7,19.3,0
2019-08-23,21.5,22.4,3
2019-08-24,22.8,24.1,1
2019-08-25,22.8,25.2,3
2019-08-26,22.2,24.9,3
2019-08-27,21.4,23.8,61
2019-08-28,22.4,25.0,3
2019-08-29,22.6,24.8,3
2019-08-30,23.5,25.9,0
2019-08-31,21.9,24.1,3
2019-09-01,19.1,20.2,51
2019-09-02,17.9,18.0,61
2019-09-03,18.0,17.7,3
2019-09-04,18.4,18.2,3
2019-09-05,17.0,16.3,53
2019-09-06,15.7,14.8,3
2019-09-07,15.6,14.7,3
2019-09-08,17.1,16.6,51
2019-09-09,15.3,14.3,3
2019-09-10,14.8,13.4,61
2019-09-11,16.8,16.1,3
2019-09-12,17.6,17.5,0
2019-09-13,19.3,20.2,3
2019-09-14,21.8,23.5,3
2019-09-15,21.9,23.8,3
2019-09-16,22.5,24.4,51
2019-09-17,21.8,23.6,3
2019-09-18,20.4,22.1,51
2019-09-19,19.6,21.0,3
2019-09-20,21.5,22.6,51
2019-09-21,21.3,22.4,53
2019-09-22,18.0,18.9,55
2019-09-23,17.4,17.4,51
2019-09-24,18.7,18.6,51
2019-09-25,16.9,16.3,51
2019-09-26,18.8,18.9,3
2019-09-27,18.2,18.7,51
2019-09-28,18.8,19.5,53
2019-09-29,18.9,18.5,3
2019-09-30,20.8,21.5,3
2019-10-01,17.7,17.5,61
2019-10-02,15.5,14.4,55
2019-10-03,15.3,15.0,51
2019-10-04,15.7,15.5,53
2019-10-05,16.5,17.0,51
2019-10-06,15.9,15.0,51
2019-10-07,15.3,14.9,3
2019-10-08,18.5,18.0,51
2019-10-09,15.2,15.0,63
2019-10-10,14.5,13.5,1
2019-10-11,17.6,16.7,2
2019-10-12,20.4,21.0,3
2019-10-13,22.7,22.0,3
2019-10-14,19.6,19.0,63
2019-10-15,13.7,11.1,63
2019-10-16,13.9,12.4,3
2019-10-17,15.1,14.6,51
2019-10-18,14.9,15.2,61
2019-10-19,15.7,15.6,51
2019-10-20,13.7,12.0,63
2019-10-21,11.7,10.7,55
2019-10-22,10.3,9.5,63
2019-10-23,12.0,10.8,63
2019-10-24,13.3,11.4,51
2019-10-25,13.6,12.2,3
2019-10-26,14.8,13.5,3
2019-10-27,14.3,13.3,3
2019-10-28,16.0,15.7,3
2019-10-29,15.5,15.2,3
2019-10-30,16.4,16.8,3
2019-10-31,15.3,14.8,61
2019-11-01,15.3,15.6,61
2019-11-02,14.1,13.8,61
2019-11-03,12.4,9.2,63
2019-11-04,15.0,12.3,63
2019-11-05,10.4,6.9,61
2019-11-06,10.5,8.1,63
2019-11-07,8.8,6.2,63
2019-11-08,7.4,3.4,61
2019-11-09,9.5,6.6,63
2019-11-10,6.8,3.5,61
2019-11-11,7.7,5.0,61
2019-11-12,8.7,6.2,53
2019-11-13,8.7,6.9,51
2019-11-14,6.7,4.0,63
2019-11-15,4.7,1.7,61
2019-11-16,5.7,1.9,61
2019-11-17,7.7,5.1,61
2019-11-18,6.4,4.0,61
2019-11-19,4.6,1.7,3
2019-11-20,4.7,1.7,3
2019-11-21,7.3,4.8,51
2019-11-22,7.3,4.6,53
2019-11-23,8.1,4.7,63
2019-11-24,8.7,6.1,53
2019-11-25,9.6,8.2,51
2019-11-26,11.3,9.7,3
2019-11-27,12.0,10.0,51
2019-11-28,10.8,9.4,61
2019-11-29,11.1,9.6,53
2019-11-30,8.6,6.2,63
2019-12-01,8.1,6.3,51
2019-12-02,6.5,4.3,51
2019-12-03,4.7,2.2,3
2019-12-04,4.1,1.5,3
2019-12-05,6.6,4.6,3
2019-12-06,7.1,5.1,3
2019-12-07,7.9,6.0,3
2019-12-08,9.7,7.4,61
2019-12-09,9.3,5.5,61
2019-12-10,8.1,5.7,3
2019-12-11,7.6,4.0,63
2019-12-12,8.4,4.5,63
2019-12-13,12.3,7.7,63
2019-12-14,13.3,10.3,51
2019-12-15,9.6,7.6,3
2019-12-16,11.6,9.1,3
2019-12-17,10.9,8.6,55
2019-12-18,9.8,8.4,3
2019-12-19,11.6,9.1,51
2019-12-20,10.5,8.2,63
2019-12-21,10.7,8.2,63
2019-12-22,10.8,6.2,63
2019-12-23,10.6,7.5,53
2019-12-24,12.9,11.1,3
2019-12-25,10.5,8.8,3
2019-12-26,10.3,8.0,3
2019-12-27,7.5,5.0,2
2019-12-28,7.2,5.0,3
2019-12-29,6.6,4.4,3
2019-12-30,7.8,5.2,2
2019-12-31,6.6,3.9,3
2020-01-01,6.5,4.1,3
2020-01-02,7.1,4.6,3
2020-01-03,6.9,4.7,51
2020-01-04,8.3,6.7,53
2020-01-05,6.0,3.9,3
2020-01-06,4.4,2.1,3
2020-01-07,7.9,5.7,3
2020-01-08,8.3,6.2,3
2020-01-09,9.9,7.5,51
2020-01-10,8.1,5.6,61
2020-01-11,5.4,2.9,1
2020-01-12,4.1,1.3,3
2020-01-13,4.6,1.6,3
2020-01-14,6.5,3.5,3
2020-01-15,9.4,6.8,51
2020-01-16,8.3,5.9,3
2020-01-17,7.5,4.8,61
2020-01-18,6.2,3.2,61
2020-01-19,5.5,2.0,61
2020-01-20,2.4,-1.8,2
2020-01-21,5.2,0.6,3
2020-01-22,7.8,5.1,61
2020-01-23,6.7,5.0,53
2020-01-24,6.8,4.1,3
2020-01-25,6.7,4.6,3
2020-01-26,7.6,5.6,55
2020-01-27,6.2,3.6,53
2020-01-28,10.6,7.3,53
2020-01-29,8.5,6.3,51
2020-01-30,12.0,11.2,61
2020-01-31,12.2,11.3,51
2020-02-01,11.6,10.2,61
2020-02-02,14.1,13.0,3
2020-02-03,14.6,12.5,2
2020-02-04,11.2,8.7,53
2020-02-05,6.5,3.3,1
2020-02-06,7.2,4.3,0
2020-02-07,8.1,5.5,3
2020-02-08,8.4,6.1,3
2020-02-09,10.3,8.6,3
2020-02-10,14.7,12.5,53
2020-02-11,11.2,9.1,53
2020-02-12,9.9,8.6,51
2020-02-13,10.8,8.6,51
2020-02-14,11.8,10.4,51
2020-02-15,11.0,9.3,3
2020-02-16,12.4,10.6,3
2020-02-17,9.1,7.0,51
2020-02-18,8.2,5.8,51
2020-02-19,8.4,5.8,3
2020-02-20,9.2,6.6,3
2020-02-21,8.7,6.8,3
2020-02-22,9.7,7.5,3
2020-02-23,10.2,8.4,1
2020-02-24,9.5,7.4,3
2020-02-25,9.1,6.2,53
2020-02-26,7.8,3.9,61
2020-02-27,10.4,6.7,63
2020-02-28,12.5,10.5,53
2020-02-29,9.8,7.4,61
2020-03-01,9.7,7.3,53
2020-03-02,7.3,3.2,63
2020-03-03,8.1,4.4,63
2020-03-04,10.3,8.4,55
2020-03-05,10.0,7.2,63
2020-03-06,6.2,1.8,55
2020-03-07,7.7,5.3,55
2020-03-08,9.3,7.1,53
2020-03-09,8.6,5.5,55
2020-03-10,11.0,8.5,53
2020-03-11,10.6,9.3,2
2020-03-12,10.9,9.8,61
2020-03-13,9.5,7.7,61
2020-03-14,8.2,6.0,3
2020-03-15,11.3,9.2,51
2020-03-16,9.2,7.5,61
2020-03-17,11.4,10.3,3
2020-03-18,13.8,12.9,3
2020-03-19,14.1,13.7,51
2020-03-20,13.3,12.2,3
2020-03-21,13.3,12.2,51
2020-03-22,12.2,10.9,51
2020-03-23,11.4,10.4,51
2020-03-24,11.4,9.6,51
2020-03-25,9.4,7.2,61
2020-03-26,7.7,4.7,51
2020-03-27,7.4,4.8,3
2020-03-28,10.1,7.8,3
2020-03-29,8.7,5.9,61
2020-03-30,4.6,1.8,53
2020-03-31,6.7,4.1,51
2020-04-01,10.4,8.9,61
2020-04-02,10.1,8.1,51
2020-04-03,9.6,7.2,3
2020-04-04,12.4,9.9,0
2020-04-05,13.4,12.0,3
2020-04-06,13.6,12.3,51
2020-04-07,13.9,13.9,53
2020-04-08,14.2,13.9,53
2020-04-09,15.5,14.6,1
2020-04-10,15.9,15.4,51
2020-04-11,14.7,14.8,63
2020-04-12,14.7,14.7,63
2020-04-13,13.7,12.9,61
2020-04-14,14.6,12.9,3
2020-04-15,15.5,14.9,3
2020-04-16,15.9,15.1,3
2020-04-17,16.0,15.7,3
2020-04-18,15.9,16.1,61
2020-04-19,14.5,14.4,63
2020-04-20,13.3,12.8,61
2020-04-21,12.3,11.6,63
2020-04-22,12.7,11.8,61
2020-04-23,14.3,13.8,3
2020-04-24,16.6,16.4,51
2020-04-25,16.0,16.2,55
2020-04-26,16.2,16.1,55
2020-04-27,13.8,13.7,63
2020-04-28,12.9,11.8,61
2020-04-29,15.2,13.5,51
2020-04-30,14.5,12.7,51
2020-05-01,15.9,14.7,63
2020-05-02,17.6,17.2,61
2020-05-03,18.7,18.9,3
2020-05-04,22.1,22.2,3
2020-05-05,19.8,19.4,3
2020-05-06,19.5,19.1,3
2020-05-07,20.3,20.4,3
2020-05-08,20.6,21.2,3
2020-05-09,19.6,20.8,61
2020-05-10,14.9,15.0,63
2020-05-11,12.8,10.0,63
2020-05-12,11.7,10.2,61
2020-05-13,13.2,12.5,61
2020-05-14,13.9,13.1,53
2020-05-15,13.0,11.6,53
2020-05-16,13.9,13.1,63
2020-05-17,15.4,14.6,3
2020-05-18,16.4,16.0,3
2020-05-19,17.8,17.8,3
2020-05-20,19.8,20.0,3
2020-05-21,19.6,20.3,3
2020-05-22,19.7,20.3,3
2020-05-23,15.8,15.6,53
2020-05-24,16.0,14.7,3
2020-05-25,18.3,18.1,3
2020-05-26,18.7,19.3,2
2020-05-27,20.1,20.9,1
2020-05-28,21.9,22.4,1
2020-05-29,22.0,22.4,0
2020-05-30,21.7,22.5,1
2020-05-31,22.2,23.1,3
2020-06-01,21.3,22.8,55
2020-06-02,20.6,22.2,51
2020-06-03,18.4,19.1,63
2020-06-04,15.1,13.3,63
2020-06-05,14.6,12.8,53
2020-06-06,16.5,16.0,53
